symbol,direction,score,entry_time_ms,exit_time_ms,entry_price,exit_price,stop_loss,tp1_price,final_target_price,trailing_stop_price,trailing_stop_activated,planned_hold_hours,funding_cost_pct,tp1_hit,outcome,pnl_pct
BTCUSDT,做多观察,100,1776872399999,1776875999999,79223.9,78920.1,78612.20499999999,79835.595,80447.29000000001,0.0,False,1.0,1.25e-05,False,到期平仓,-0.004847201396926791
BTCUSDT,做多观察,100,1776925499999,1776928199999,78262.7,78126.8,77895.83357142856,78629.56642857143,78996.43285714286,0.0,False,1.5,9.375e-06,False,时间止损,-0.002745834386144283
BTCUSDT,做多观察,100,1776956099999,1776961499999,78000.0,78342.2,77551.945,78448.055,78896.10999999999,77865.58350000001,False,1.5,1.875e-05,True,半仓止盈后到期,0.004046987179487116
BTCUSDT,做多观察,98,1776982799999,1776985499999,78184.1,78159.9,77725.83928571428,78642.36071428574,79100.62142857147,0.0,False,1.5,9.375e-06,False,时间止损,-0.001318900849885228
BTCUSDT,做空观察,94,1777001699999,1777004399999,77559.1,77706.6,78024.62785714286,77093.57214285716,76628.0442857143,0.0,False,1.5,9.375e-06,False,时间止损,-0.0029111505492263315
BTCUSDT,做多观察,100,1777028999999,1777034399999,78081.1,78163.8,77479.49142857142,78682.7085714286,79284.31714285718,0.0,False,1.5,1.875e-05,False,到期平仓,4.040516046773261e-05
BTCUSDT,做空观察,94,1777100699999,1777103399999,77416.5,77479.9,77554.46142857143,77278.53857142857,77140.57714285713,0.0,False,1.5,9.375e-06,False,时间止损,-0.0018283218653322507
BTCUSDT,做多观察,93,1777109999999,1777115399999,77680.8,77695.4,77450.69571428571,77910.90428571429,78141.00857142858,0.0,False,1.5,1.875e-05,False,到期平仓,-0.0008308013691930146
BTCUSDT,做空观察,90,1777132199999,1777137599999,77458.1,77284.8,77717.48142857142,77198.71857142859,76939.33714285717,77535.91442857143,False,1.5,1.875e-05,True,半仓止盈后到期,0.001774253111175079
BTCUSDT,做空观察,98,1777174499999,1777177199999,77329.3,77445.2,77503.78571428571,77154.8142857143,76980.32857142859,0.0,False,2.5,9.375e-06,False,时间止损,-0.0025081600659451744
BTCUSDT,做多观察,100,1777227599999,1777231799999,78161.5,78161.5,77924.51785714286,78398.48214285714,78635.46428571429,78090.40535714285,False,1.5,1.4583333333333333e-05,True,半仓止盈后保本,0.0005013941162879311
BTCUSDT,做空观察,98,1777302299999,1777305899999,77317.6,76737.3,78050.74571428572,76584.4542857143,75851.30857142858,77537.54371428571,False,1.0,1.25e-05,True,半仓止盈后到期,0.00748133396720613
BTCUSDT,做多观察,100,1777331999999,1777337399999,77092.7,77358.6,76844.56,77340.84,77588.98,77018.258,False,1.5,1.875e-05,True,半仓止盈后到期,0.0023151583985903217
BTCUSDT,做空观察,100,1777343999999,1777346699999,76669.8,76668.0,77192.75142857143,76146.84857142858,75623.89714285715,0.0,False,2.5,9.375e-06,False,时间止损,-0.000985897698637496
BTCUSDT,做空观察,92,1777360799999,1777361999999,76459.8,76745.89928571429,76745.89928571429,76173.70071428572,75887.60142857143,0.0,False,2.0,4.166666666666667e-06,False,止损,-0.004745992903647206
BTCUSDT,做空观察,100,1777376399999,1777379099999,76191.4,76184.3,76496.11714285715,75886.68285714283,75581.96571428567,0.0,False,2.5,9.375e-06,False,时间止损,-0.0009161886298848522
BTCUSDT,做空观察,100,1777386299999,1777395299999,75873.5,76120.3,76334.71071428571,75412.28928571429,74951.07857142857,0.0,False,2.5,3.125e-05,False,到期平仓,-0.004284032592077641
BTCUSDT,做多观察,90,1777406699999,1777409399999,76402.6,76415.0,76075.73857142858,76729.46142857143,77056.32285714286,0.0,False,1.5,9.375e-06,False,时间止损,-0.0008470768583137986
BTCUSDT,做多观察,90,1777432799999,1777438199999,76795.7,77255.2,76388.41857142857,77202.98142857142,77610.26285714285,76897.52035714286,True,1.5,1.875e-05,True,半仓止盈后到期,0.004624674231899877
