symbol,direction,score,entry_time_ms,exit_time_ms,entry_price,exit_price,stop_loss,tp1_price,final_target_price,trailing_stop_price,trailing_stop_activated,planned_hold_hours,funding_cost_pct,tp1_hit,outcome,pnl_pct
BTCUSDT,做空观察,98,1777469099999,1777474499999,76893.1,76590.0,77447.56071428572,76338.6392857143,75784.17857142858,0.0,False,1.5,1.875e-05,False,到期平仓,0.0029230861335413165
BTCUSDT,做空观察,100,1777475399999,1777484399999,76288.7,75944.5,76889.46142857143,75687.93857142856,75087.17714285712,0.0,False,2.5,3.125e-05,True,半仓止盈后到期,0.005162075017803647
BTCUSDT,做空观察,100,1777486199999,1777496999999,74970.7,75636.9,76507.24,73434.15999999999,71897.61999999998,0.0,False,3.0,3.75e-05,False,到期平仓,-0.009923638184650765
BTCUSDT,做空观察,93,1777516799999,1777522199999,75501.6,75760.7,76347.68000000001,74655.52,73809.44,0.0,False,1.5,1.875e-05,False,到期平仓,-0.00445046535437648
BTCUSDT,做空观察,100,1777523999999,1777529399999,75397.8,75606.4,75924.99,74870.61,74343.42,0.0,False,1.5,1.875e-05,False,到期平仓,-0.003785408974134408
BTCUSDT,做多观察,100,1777638299999,1777642499999,77720.0,78468.25857142857,77345.87071428572,78094.12928571428,78468.25857142857,0.0,False,2.5,1.4583333333333333e-05,True,分批止盈,0.006206131136190922
BTCUSDT,做多观察,100,1777685699999,1777696499999,78380.8,78220.0,78145.99142857143,78615.60857142857,78850.41714285714,0.0,False,3.0,3.75e-05,False,到期平仓,-0.0030890228219156084
BTCUSDT,做多观察,100,1777738199999,1777745099999,78477.8,78324.01571428572,78324.01571428572,78631.58428571429,78785.36857142857,0.0,False,2.5,2.3958333333333334e-05,False,止损,-0.0029835479970889726
BTCUSDT,做多观察,100,1777757699999,1777758299999,78505.7,78763.91571428573,78376.59214285713,78634.80785714286,78763.91571428573,0.0,False,2.5,2.0833333333333334e-06,True,分批止盈,0.0014647666624542234
BTCUSDT,做多观察,100,1777792199999,1777797599999,78346.4,78385.0,78137.85,78554.94999999998,78763.49999999997,0.0,False,1.5,1.875e-05,False,到期平仓,-0.0005260662263996071
